['Try', '145,', 'CPU', '16,', 'CC', 'All/Weak', '22.3', '/', '16.2,', 'CFOM', '38.5,', 'best', '41.0,', 'PATFOM', '24.90']
['Try', '146,', 'CPU', '7,', 'CC', 'All/Weak', '19.9', '/', '13.5,', 'CFOM', '33.4,', 'best', '41.0,', 'PATFOM', '30.21']
['Try', '147,', 'CPU', '5,', 'CC', 'All/Weak', '19.2', '/', '11.5,', 'CFOM', '30.8,', 'best', '41.0,', 'PATFOM', '27.17']
['Try', '148,', 'CPU', '14,', 'CC', 'All/Weak', '18.8', '/', '12.2,', 'CFOM', '31.0,', 'best', '41.0,', 'PATFOM', '26.79']
['Try', '149,', 'CPU', '8,', 'CC', 'All/Weak', '19.9', '/', '13.5,', 'CFOM', '33.4,', 'best', '41.0,', 'PATFOM', '29.67']
['Try', '150,', 'CPU', '10,', 'CC', 'All/Weak', '20.1', '/', '13.6,', 'CFOM', '33.7,', 'best', '41.0,', 'PATFOM', '29.07']
['Try', '151,', 'CPU', '1,', 'CC', 'All/Weak', '19.9', '/', '13.9,', 'CFOM', '33.7,', 'best', '41.0,', 'PATFOM', '25.96']
['Try', '152,', 'CPU', '11,', 'CC', 'All/Weak', '22.1', '/', '15.9,', 'CFOM', '38.0,', 'best', '41.0,', 'PATFOM', '24.18']
['Try', '153,', 'CPU', '12,', 'CC', 'All/Weak', '19.5', '/', '13.5,', 'CFOM', '33.0,', 'best', '41.0,', 'PATFOM', '30.21']
['Try', '154,', 'CPU', '3,', 'CC', 'All/Weak', '21.9', '/', '16.4,', 'CFOM', '38.3,', 'best', '41.0,', 'PATFOM', '27.09']
['Try', '155,', 'CPU', '6,', 'CC', 'All/Weak', '20.0', '/', '13.3,', 'CFOM', '33.3,', 'best', '41.0,', 'PATFOM', '25.44']
['Try', '156,', 'CPU', '4,', 'CC', 'All/Weak', '19.3', '/', '11.8,', 'CFOM', '31.1,', 'best', '41.0,', 'PATFOM', '27.74']
['Try', '157,', 'CPU', '15,', 'CC', 'All/Weak', '19.3', '/', '11.8,', 'CFOM', '31.1,', 'best', '41.0,', 'PATFOM', '27.74']
['Try', '158,', 'CPU', '2,', 'CC', 'All/Weak', '19.7', '/', '13.5,', 'CFOM', '33.2,', 'best', '41.0,', 'PATFOM', '29.95']
['Try', '159,', 'CPU', '13,', 'CC', 'All/Weak', '21.9', '/', '15.5,', 'CFOM', '37.3,', 'best', '41.0,', 'PATFOM', '25.78']
['Try', '160,', 'CPU', '9,', 'CC', 'All/Weak', '19.6', '/', '13.1,', 'CFOM', '32.7,', 'best', '41.0,', 'PATFOM', '29.07']
['Try', '161,', 'CPU', '16,', 'CC', 'All/Weak', '19.2', '/', '11.9,', 'CFOM', '31.1,', 'best', '41.0,', 'PATFOM', '23.59']
['Try', '162,', 'CPU', '7,', 'CC', 'All/Weak', '19.0', '/', '12.9,', 'CFOM', '31.8,', 'best', '41.0,', 'PATFOM', '23.11']
['Try', '163,', 'CPU', '5,', 'CC', 'All/Weak', '19.4', '/', '13.4,', 'CFOM', '32.9,', 'best', '41.0,', 'PATFOM', '30.21']
['Try', '164,', 'CPU', '14,', 'CC', 'All/Weak', '18.9', '/', '11.3,', 'CFOM', '30.2,', 'best', '41.0,', 'PATFOM', '27.74']
['Try', '165,', 'CPU', '8,', 'CC', 'All/Weak', '19.8', '/', '13.7,', 'CFOM', '33.5,', 'best', '41.0,', 'PATFOM', '29.75']
['Try', '166,', 'CPU', '10,', 'CC', 'All/Weak', '20.0', '/', '13.3,', 'CFOM', '33.3,', 'best', '41.0,', 'PATFOM', '25.44']
['Try', '167,', 'CPU', '11,', 'CC', 'All/Weak', '22.4', '/', '16.4,', 'CFOM', '38.7,', 'best', '41.0,', 'PATFOM', '25.57']
['Try', '168,', 'CPU', '12,', 'CC', 'All/Weak', '19.1', '/', '14.2,', 'CFOM', '33.4,', 'best', '41.0,', 'PATFOM', '23.84']
['Try', '169,', 'CPU', '1,', 'CC', 'All/Weak', '21.9', '/', '15.5,', 'CFOM', '37.3,', 'best', '41.0,', 'PATFOM', '25.78']
['Try', '170,', 'CPU', '3,', 'CC', 'All/Weak', '19.9', '/', '13.5,', 'CFOM', '33.5,', 'best', '41.0,', 'PATFOM', '29.67']
