['Try', '129,', 'CPU', '1,', 'CC', 'All/Weak', '19.8', '/', '15.1,', 'CFOM', '34.9,', 'best', '39.2,', 'PATFOM', '49.75']
['Try', '130,', 'CPU', '4,', 'CC', 'All/Weak', '21.7', '/', '17.5,', 'CFOM', '39.1,', 'best', '39.2,', 'PATFOM', '48.95']
['Try', '131,', 'CPU', '2,', 'CC', 'All/Weak', '19.4', '/', '14.6,', 'CFOM', '33.9,', 'best', '39.2,', 'PATFOM', '49.29']
['Try', '132,', 'CPU', '5,', 'CC', 'All/Weak', '19.8', '/', '15.1,', 'CFOM', '34.9,', 'best', '39.2,', 'PATFOM', '49.75']
['Try', '133,', 'CPU', '12,', 'CC', 'All/Weak', '13.7', '/', '7.5,', 'CFOM', '21.2,', 'best', '39.2,', 'PATFOM', '32.88']
['Try', '134,', 'CPU', '9,', 'CC', 'All/Weak', '19.1', '/', '14.3,', 'CFOM', '33.4,', 'best', '39.2,', 'PATFOM', '49.29']
['Try', '135,', 'CPU', '7,', 'CC', 'All/Weak', '21.0', '/', '16.5,', 'CFOM', '37.5,', 'best', '39.2,', 'PATFOM', '49.11']
['Try', '136,', 'CPU', '14,', 'CC', 'All/Weak', '21.7', '/', '17.5,', 'CFOM', '39.1,', 'best', '39.2,', 'PATFOM', '48.95']
['Try', '137,', 'CPU', '10,', 'CC', 'All/Weak', '20.3', '/', '15.8,', 'CFOM', '36.1,', 'best', '39.2,', 'PATFOM', '48.18']
['Try', '138,', 'CPU', '11,', 'CC', 'All/Weak', '19.8', '/', '14.7,', 'CFOM', '34.5,', 'best', '39.2,', 'PATFOM', '48.61']
['Try', '139,', 'CPU', '13,', 'CC', 'All/Weak', '21.2', '/', '16.6,', 'CFOM', '37.8,', 'best', '39.2,', 'PATFOM', '49.32']
['Try', '140,', 'CPU', '8,', 'CC', 'All/Weak', '19.1', '/', '14.3,', 'CFOM', '33.4,', 'best', '39.2,', 'PATFOM', '49.29']
['Try', '141,', 'CPU', '6,', 'CC', 'All/Weak', '19.7', '/', '14.8,', 'CFOM', '34.4,', 'best', '39.2,', 'PATFOM', '49.29']
['Try', '142,', 'CPU', '16,', 'CC', 'All/Weak', '21.1', '/', '16.5,', 'CFOM', '37.6,', 'best', '39.2,', 'PATFOM', '49.11']
['Try', '143,', 'CPU', '15,', 'CC', 'All/Weak', '19.9', '/', '14.8,', 'CFOM', '34.7,', 'best', '39.2,', 'PATFOM', '49.75']
['Try', '144,', 'CPU', '3,', 'CC', 'All/Weak', '21.4', '/', '17.0,', 'CFOM', '38.4,', 'best', '39.2,', 'PATFOM', '50.98']
['Try', '145,', 'CPU', '1,', 'CC', 'All/Weak', '19.8', '/', '15.1,', 'CFOM', '34.9,', 'best', '39.2,', 'PATFOM', '49.75']
